RefID,PMID,Title,Authors,Journal,Year,accession
1,,Direct Submission,"Ashraf S., Love H., Burton C., Carmichael S., Davis C., Filipe A., Roddy S., Smollett K., Summers S., Tong L., Richards K., Thomson E."," MRC Centre for Virus Research, University of Glasgow, 464 Bearsden road, Glasgow G61 1QH, United Kingdom",2021,"OL774856, OL774857, OL774858, OL774859, OL774860, OL774861, OL774862, OL774863"
2,2916333,Nucleotide sequence of the Lassa virus (Josiah strain) S genome RNA and amino acid sequence comparison of the N and GPC proteins to other arenaviruses,"Auperin D., Mccormick J.","Virology 168 (2), 421-425 (1989)",1989,"J04324, NC_004296"
3,3750844,Nucleotide sequence of the glycoprotein gene and intergenic region of the Lassa virus S genome RNA,"Auperin D., Sasso D., Mccormick J.","Virology 154 (1), 155-167 (1986)",1986,M15076
4,,Direct Submission,"Bjornson-hooper Z., Gire S., Honko A., Sabeti P., Hensley L."," Virology, United States Army Medical Research Institute for Infectious Diseases, 1425 Porter St, Frederick, MD 21702, USA",2011,"JN650517, JN650518"
5,,Direct Submission,Clegg C.," Clegg C.S., Special Pathogens Reference Unit, Health Protection Agency CEPR, Porton Down, Salisbury, SP4 0JG, UNITED KINGDOM",2005,"AJ969404, AJ969405, AJ969406, AJ969407, AJ969408, AJ969409"
6,11987802,Molecular phylogeny of the arenaviruses,Clegg J.,"Curr. Top. Microbiol. Immunol. 262, 1-24 (2002)",2002,"AJ969404, AJ969405, AJ969406, AJ969407, AJ969408, AJ969409"
7,3840620,Molecular cloning of Lassa virus RNA: nucleotide sequence and expression of the nucleocapsid protein gene,"Clegg J., Oram J.","Virology 144 (2), 363-372 (1985)",1985,K03362
8,7883875,Early diagnosis of Lassa fever by reverse transcription-PCR,"Demby A., Chamberlain J., Brown D., Clegg C.","J. Clin. Microbiol. 32 (12), 2898-2903 (1994)",1994,"AJ969404, AJ969405, AJ969406, AJ969407, AJ969408, AJ969409"
9,,Direct Submission,Djavani M.," Pathology, University of Wisconsin, 1300 University Ave., SMI, Rm.#512, Madison, WI 53706, USA",1999,"NC_004297, U73034, U73035"
10,,Direct Submission,"Fichet-calvet E., Stephan O., Thomas S., Lamine K., Beate B., N'faly M., Stephan G."," Virology, Bernhard-Nocht Institute of Tropical Medicine, Bernhard-Nocht Strasse 74, Hamburg 20359, Germany",2015,"KP339050, KP339051, KP339052, KP339053, KP339054, KP339055, KP339056, KP339057, KP339058, KP339059, KP339060, KP339061, KP339062, KP339063, KP339064, KP339065, KP339066, KP339067, KP339068, KP339069, KP339070, KP339071, KP339072, KP339073, KP339074, KP339075, KP339076, KP339077, KP339078, KP339079, KP339080, KP339081, KP339082, KP339083, KP339084, KP339085, KP339086, KP339087, KP339088, KP339089, KP339090, KP339091, KP339092, KP339093, KP339094, KP339095, KP339096, KP339097, KP339098, KP339099, KP339100, KP339101, KP339102, KP339103, KP339104, KP339105, KP339106, KP339107, KP339108, KP339109, KP339110, KP339111, KP339112, KP339113, KP339114, KP339115, KP339116, KP339117, KP339118, KP339119, KP339120, KP339121, KP339122, KP339123, KP339124, KP339125, KP339126, KP339127, KP339128, KP339129, KP339130, KP339131, KP339132, KP339133"
11,33654106,ChAdOx1-vectored Lassa fever vaccine elicits a robust cellular and humoral immune response and protects guinea pigs against lethal Lassa virus challenge,"Fischer R., Purushotham J., Van doremalen N., Sebastian S., Meade-white K., Cordova K., Letko M., Jeremiah matson M., Feldmann F., Haddock E., Lacasse R., Saturday G., Lambe T., Gilbert S., Munster V.","NPJ Vaccines 6 (1), 32 (2021)",2021,"MW004546, MW004547"
12,,Direct Submission,"Geisbert J., Cross R., Safronetz D., Fischer R., Munster V., Feldmann H., Geisbert T."," Microbiology and Immunology, University of Texas Medical Branch, 301 University Parkway, Galveston, TX 77555, USA",2020,"MW004546, MW004547"
13,,Direct Submission,Hain T.," Institute for Medical Microbiology, NGS core facility, Justus-Liebig-University, Institute for Medical Microbiology, Schuberttrasse 81, 35392 Giessen, Hessia, 35392, Germany",2016,"LT601601, LT601602"
14,,Direct Submission,"Hajjaj A., Chain P., Do L., Smith K., Imbro P., Malfatti S."," Viral Sequencing Group, Lawrence Livermore National Laboratory, 7000 East Avenue, Livermore, CA 94550, USA",2004,"AY628200, AY628201, AY628202, AY628203, AY628204, AY628205, AY628206, AY628207, AY628208"
15,,Direct Submission,"Happi A., Ogunsanya O., Sijuwola A., Saibu F., Akano K., Ayinla A., Nwofoke C., Daodu R., Adedokun O., Fadele J., Elias O., Ogundana K., Lawal O., Adelabu A., Nosamiefan I., Okolie J., Parker Z., Mccauley M., Lombardi K., Eller L., Broach E., Prins P., Parker E., Page B., Heeney J., Modjarrad K., Collins N., Vasan S., Happi C."," ACEGID, Redeemers University, Ede, Osun PMB230, Nigeria",2024,"PP431155, PP431156, PP431160, PP431162, PP431165, PP431167, PP431173, PP431176, PP431181, PP431183, PP431185, PP431187, PP431194, PP431195, PP431196, PP431198, PP431200, PP431203, PP431204, PP431205, PP431208, PP431209, PP431211"
16,,Direct Submission,"Jahrling P., Geisbert J., Ibrahim M."," Viral Genomics Group, USAMRIID, Fort Detrick, MD 21702, USA",2004,"AY628200, AY628201, AY628202, AY628203, AY628204, AY628205, AY628206, AY628207, AY628208"
17,,Direct Submission,NCBI," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",2002,NC_004296
18,,Direct Submission,NCBI," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",2007,NC_004297
19,,Direct Submission,NCBI," One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis, 1089 Veterinary Medicine Drive, Davis, CA 95616, USA",2020,"MW007351, MW007352, MW007353, MW007354, MW007355"
20,,Direct Submission,"Rieger T., Cadar D., Schmidt-chanasit J., Gunther S."," WHO Collaborating Centre for Arboviruses and Hemorrhagic Fever Reference and Research, Bernhard Nocht Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany",2016,"KU961971, KU961972"
21,,Direct Submission,"Rossi S., Guerbois M., Forrester N., Ksiazek T., Lin D., Hari K., Weaver S."," Microbiology and Immunology, University of Texas Medical Branch, 301 University Boulevard, Galveston, TX 77555, USA",2016,"KU978807, KU978808, KU978809, KU978810, KU978811, KU978812"
22,17905372,RT-PCR assay for detection of Lassa virus and related Old World arenaviruses targeting the L gene,"Vieth S., Drosten C., Lenz O., Vincent M., Omilabu S., Hass M., Becker-ziaja B., Ter meulen J., Nichol S., Schmitz H., Gunther S.","Trans. R. Soc. Trop. Med. Hyg. 101 (12), 1253-1264 (2007)",2007,"AY363905, AY363906, AY363907, AY363908, AY363909, AY363910, AY693637, AY693638, AY693639, AY693640, AY870334"
23,14972544,Sequence analysis of L RNA of Lassa virus,"Vieth S., Torda A., Asper M., Schmitz H., Gunther S.","Virology 318 (1), 153-168 (2004)",2004,"AH012598, AY179171, AY179172, AY179173"
24,37288752,"Circulation of lassa virus across the endemic edo-ondo axis, nigeria, with cross-species transmission between multimammate mice","Adesina A., Bangura U., Oyeyiola A., Obadare A., Igbokwe J., Abejegah C., Akhilomen P., Asogun D., Tobin E., Ayodeji O., Osoniyi O., Davis C., Thomson E., Pahlmann M., Gunther S., Davis C., Olayemi A., Fichet-calvet E."," Virology, Bernhard-Nocht Institute of Tropical Medicine, Bernhard-Nocht Strasse 74, Hamburg 20359, Germany, Emerg Microbes Infect 12 (1), 2219350 (2023)",2023,"OQ556910, OQ556911, OQ556912, OQ556913, OQ556914, OQ556915, OQ556916, OQ556917, OQ556918, OQ556919, OQ556920, OQ556921, OQ556922, OQ556923, OQ556924, OQ556925, OQ556926, OQ556927, OQ556928, OQ556929, OQ556930, OQ556931, OQ556932, OQ556933, OQ556934, OQ556935, OQ556936, OQ556937, OQ556938, OQ556939, OQ556940, OQ556941, OQ556942, OQ556943, OQ556944, OQ556945, OQ556946, OQ556947, OQ556948, OQ556949, OQ556950, OQ556951, OQ556952, OQ556953, OQ556954, OQ556955, OQ556956, OQ556957, OQ556958, OQ556959, OQ556960, OQ556961, OQ556962, OQ556963, OQ556964, OQ556965, OQ556966, OQ556967, OQ556968, OQ556969, OQ556970, OQ556971, OQ556972, OQ556973, OQ556974, OQ556975, OQ556976, OQ556977, OQ556978, OQ556979, OQ556980, OQ556981, OQ556982, OQ556983, OQ556984, OQ556985, OQ556986, OQ556987, OQ556988, OQ556989, OQ556990, OQ556991, OQ556992, OQ556993, OQ556994, OQ556995, OQ556996, OQ556997, OQ556998, OQ556999, OQ557000, OQ557001, OQ557002, OQ557003, OQ557004, OQ557005, OQ557006, OQ557007, OQ557008, OQ557009, OQ557010, OQ557011, OQ557012, OQ557013, OQ557014, OQ557015, OQ557016, OQ557017, OQ557018, OQ557019, OQ557020, OQ557021, OQ557022, OQ557023, OQ557024, OQ557025, OQ557026, OQ557027, OQ557028, OQ557029, OQ557030, OQ557031, OQ557032, OQ557033, OQ557034, OQ557035, OQ557036, OQ557037, OQ557038, OQ557039, OQ557040, OQ557041, OQ557042, OQ557043, OQ557044, OQ557045, OQ557046, OQ557047, OQ557048, OQ557049, OQ557050, OQ557051, OQ557052, OQ557053, OQ557054, OQ557055, OQ557056, OQ557057, OQ557058, OQ557059, OQ557060, OQ557061, OQ557062, OQ557063, OQ557064, OQ557065, OQ557066, OQ557067, OQ557068, OQ557069, OQ557070, OQ557071, OQ557072, OQ557073, OQ557074, OQ557075, OQ557076, OQ557077, OQ557078, OQ557079, OR490691, OR490692, OR490693, OR490694, OR490695, OR490696, OR490697, OR490698, OR490699, OR490700, OR490701, OR490702, OR490703, OR490704, OR490705, OR490706, OR490707, OR490708, OR490709, OR490710, OR490711, OR490712, OR490713, OR490714, OR490715, OR490716, OR490717, OR490718, OR490719, OR490720, OR490721, OR490722, OR490723, OR490724, OR490725, OR490726, OR490727, OR490728, OR490729, OR490730, OR490731, OR490732, OR490733, OR490734, OR490735, OR490736, OR490737, OR490738, OR490739, OR490740, OR490741, OR490742, OR490743, OR490744, OR490745, OR490746, OR490747, OR490748, OR490749, OR490750, OR490751, OR490752, OR490753, OR490754"
25,21307206,Efficient rescue of recombinant lassa virus reveals the influence of s segment noncoding regions on virus replication and virulence,"Albarino C., Bird B., Chakrabarti A., Dodd K., Erickson B., Nichol S."," Viral Special Pathogens Branch, Division, Centers for Disease Control and Prevention, 1600 Clifton Rd., Atlanta, GA 30333, USA, J. Virol. 85 (8), 4020-4024 (2011)","2010, 2011","HQ688672, HQ688673, HQ688674, HQ688675"
26,,Whole genome-sequencing from clinical and field samples uncovers ancient origins and intra-host evolution of lassa virus,"Andersen K., Shapiro B., Matranga C., Gire S., Sealfon R., England E., Winnicki S., Moses L., Stremlau M., Folarin O., Odia I., Ehiane P., Goba A., Momoh M., Gnirke A., Birren B., Hensley L., Levin J., Happi C., Garry R., Sabeti P."," Broad Institute, 75 Ames St, Cambridge, MA 02142, USA, Unpublished",2014,"KM821772, KM821773, KM821774, KM821775, KM821776, KM821777, KM821778, KM821779, KM821780, KM821781, KM821782, KM821783, KM821784, KM821785, KM821786, KM821787, KM821788, KM821789, KM821790, KM821791, KM821792, KM821793, KM821794, KM821795, KM821796, KM821797, KM821798, KM821799, KM821800, KM821801, KM821802, KM821803, KM821804, KM821805, KM821806, KM821807, KM821808, KM821809, KM821810, KM821811, KM821812, KM821813, KM821814, KM821815, KM821816, KM821817, KM821818, KM821819, KM821820, KM821821, KM821822, KM821823, KM821824, KM821825, KM821826, KM821827, KM821828, KM821829, KM821830, KM821831, KM821832, KM821833, KM821834, KM821835, KM821836, KM821837, KM821838, KM821839, KM821840, KM821841, KM821842, KM821843, KM821844, KM821845, KM821846, KM821847, KM821848, KM821849, KM821850, KM821851, KM821852, KM821853, KM821854, KM821855, KM821856, KM821857, KM821858, KM821859, KM821860, KM821861, KM821862, KM821863, KM821864, KM821865, KM821866, KM821867, KM821868, KM821869, KM821870, KM821871, KM821872, KM821873, KM821874, KM821875, KM821876, KM821877, KM821878, KM821879, KM821880, KM821881, KM821882, KM821883, KM821884, KM821885, KM821886, KM821887, KM821888, KM821889, KM821890, KM821891, KM821892, KM821893, KM821894, KM821895, KM821896, KM821897, KM821898, KM821899, KM821900, KM821901, KM821902, KM821903, KM821904, KM821905, KM821906, KM821907, KM821908, KM821909, KM821910, KM821911, KM821912, KM821913, KM821914, KM821915, KM821916, KM821917, KM821918, KM821919, KM821920, KM821921, KM821922, KM821923, KM821924, KM821925, KM821926, KM821927, KM821928, KM821929, KM821930, KM821931, KM821932, KM821933, KM821934, KM821935, KM821936, KM821937, KM821938, KM821939, KM821940, KM821941, KM821942, KM821943, KM821944, KM821945, KM821946, KM821947, KM821948, KM821949, KM821950, KM821951, KM821952, KM821953, KM821954, KM821955, KM821956, KM821957, KM821958, KM821959, KM821960, KM821961, KM821962, KM821963, KM821964, KM821965, KM821966, KM821967, KM821968, KM821969, KM821970, KM821971, KM821972, KM821973, KM821974, KM821975, KM821976, KM821977, KM821978, KM821979, KM821980, KM821981, KM821982, KM821983, KM821984, KM821985, KM821986, KM821987, KM821988, KM821989, KM821990, KM821991, KM821992, KM821993, KM821994, KM821995, KM821996, KM821997, KM821998, KM821999, KM822000, KM822001, KM822002, KM822003, KM822004, KM822005, KM822006, KM822007, KM822008, KM822009, KM822010, KM822011, KM822012, KM822013, KM822014, KM822015, KM822016, KM822017, KM822018, KM822019, KM822020, KM822021, KM822022, KM822023, KM822024, KM822025, KM822026, KM822027, KM822028, KM822029, KM822030, KM822031, KM822032, KM822033, KM822034, KM822035, KM822036, KM822037, KM822038, KM822039, KM822040, KM822041, KM822042, KM822043, KM822044, KM822045, KM822046, KM822047, KM822048, KM822049, KM822050, KM822051, KM822052, KM822053, KM822054, KM822055, KM822056, KM822057, KM822058, KM822059, KM822060, KM822061, KM822062, KM822063, KM822064, KM822065, KM822066, KM822067, KM822068, KM822069, KM822070, KM822071, KM822072, KM822073, KM822074, KM822075, KM822076, KM822077, KM822078, KM822079, KM822080, KM822081, KM822082, KM822083, KM822084, KM822085, KM822086, KM822087, KM822088, KM822089, KM822090, KM822091, KM822092, KM822093, KM822094, KM822095, KM822096, KM822097, KM822098, KM822099, KM822100, KM822101, KM822102, KM822103, KM822104, KM822105, KM822106, KM822107, KM822108, KM822109, KM822110, KM822111, KM822112, KM822113, KM822114, KM822115, KM822116, KM822117, KM822118, KM822119, KM822120, KM822121, KM822122, KM822123, KM822124, KM822125, KM822126, KM822127, KM822128, KM822129, KM822130, KM822131, KM822132"
27,23029594,"Molecular diagnostics for lassa fever at irrua specialist teaching hospital, nigeria: lessons learnt from two years of laboratory operation","Asogun D., Adomeh D., Ehimuan J., Odia I., Hass M., Gabriel M., Olschlager S., Becker-ziaja B., Folarin O., Phelan E., Ehiane P., Ifeh V., Uyigue E., Oladapo Y., Muoebonam E., Osunde O., Dongo A., Okokhere P., Okogbenin S., Momoh M., Alikah S., Akhuemokhan O., Imomeh P., Odike M., Gire S., Andersen K., Sabeti P., Happi C., Akpede G., Gunther S."," Department of Virology, Bernhard-Nocht-Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany, PLoS Negl Trop Dis 6 (9), E1839 (2012)","2011, 2012","JN651366, JN651367, JN651368, JN651369, JN651370, JN651371, JN651372, JN651373, JN651374, JN651375, JN651376, JN651377, JN651378, JN651379, JN651380, JN651381, JN651382, JN651383, JN651384, JN651385, JN651386, JN651387, JN651388, JN651389, JN651390, JN651391, JN651392, JN651393, JN651394, JN651395, JN651396, JN651397, JN651398, JN651399, JN651400"
28,,A case of imported lassa fever from mali,"Atkin S., Hand J., Anaraki S., Gothard P., Walsh A., Gopal R., Gopal R., Morgan D., Brown D."," Virus Reference Department, HPA Centre for Infections, 61 Colindale Avenue, Colindale, London NW9 5HT, United Kingdom, Euro Surveill. (2009) In press",2009,FJ824031
29,,Differential pathogenesis in closely related 2018 nigerian outbreak clade iii lassa virus isolates,"Audet J., Stein D., Leung A., Warner B., Soule G., Sroga P., Griffin B., Grolla A., Tierney K., Albietz A., Kobasa D., Musa A., Ahmad A., Akinpelu A., Mba N., Qiu X., Ihekweazu C., Stein D., Safronetz D."," Special Pathogens, Public Health Agency of Canada, 1015 Arlington street, Winnipeg, Manitoba R3E 3R2, Canada, Unpublished",2021,"MZ169790, MZ169791, MZ169792, MZ169793, MZ169794, MZ169795, MZ169796, MZ169797, MZ169798, MZ169799"
30,33466234,"Lassa virus circulation in small mammal populations in bo district, sierra leone","Bangura U., Buanie J., Lamin J., Bongo G., Dawson M., Ansumana R., Sondufu D., Thomson E., Sahr F., Thomson E., Fichet-calvet E., Davis C."," Virology, Bernhard-Nocht Institute for Tropical Medicine, Bernhard-Nocht Strasse 74, Hamburg 20359, Germany, Biology (Basel) 10 (1), E28 (2021)","2020, 2021","MW039388, MW039389, MW039390, MW039391"
31,38047354,"Spatio-temporal spread of lassa virus and a new rodent host in the mano river union area, west africa","Bangura U., Davis C., Lamin J., Bangura J., Soropogui B., Davison A., Nichols J., Vucak M., Dawson M., Ansumana R., Sondufu D., Cadar D., Rieger T., Thomson E., Sahr F., Magassouba N., Ghersi B., Bird B., Fichet-calvet E.","Emerg Microbes Infect, 2290834 (2023) In press",2023,"OR490691, OR490692, OR490693, OR490694, OR490695, OR490696, OR490697, OR490698, OR490699, OR490700, OR490701, OR490702, OR490703, OR490704, OR490705, OR490706, OR490707, OR490708, OR490709, OR490710, OR490711, OR490712, OR490713, OR490714, OR490715, OR490716, OR490717, OR490718, OR490719, OR490720, OR490721, OR490722, OR490723, OR490724, OR490725, OR490726, OR490727, OR490728, OR490729, OR490730, OR490731, OR490732, OR490733, OR490734, OR490735, OR490736, OR490737, OR490738, OR490739, OR490740, OR490741, OR490742, OR490743, OR490744, OR490745, OR490746, OR490747, OR490748, OR490749, OR490750, OR490751, OR490752, OR490753, OR490754"
32,,"Recent detection of lassa and crimean-congo haemorrhagic fever virus infections in the capital of mali, bamako","Baumann J., Mandy K."," Bundeswehr Institute of Microbiology, Neuherbergstr. 11, Munich, Bavaria 80937, Germany, Unpublished",2018,"MH473586, MH473587"
33,9417890,Phylogenetic analysis of the arenaviridae: patterns of virus evolution and evidence for cospeciation between arenaviruses and their rodent hosts,"Bowen M., Peters C., Nichol S."," Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd, N.E., Atlanta, GA 30333, USA, Mol. Phylogenet. Evol. 8 (3), 301-316 (1997)","1996, 1997",U80004
34,10888638,Genetic diversity among lassa virus strains,"Bowen M., Rollin P., Ksiazek T., Hustad H., Bausch D., Demby A., Bajani M., Peters C., Nichol S."," Special Pathogens Branch, MS G14, Centers for Disease Control and Prevention, 1600 Clifton Rd. N.E., Atlanta, GA 30333, USA, J. Virol. 74 (15), 6992-7004 (2000)","1999, 2000","AF181853, AF181854, AF182219, AF182220, AF182221, AF182222, AF182223, AF182224, AF182225, AF182226, AF182227, AF182228, AF182229, AF182230, AF182231, AF182232, AF182233, AF182234, AF182235, AF182236, AF182237, AF182238, AF182239, AF182240, AF182241, AF182242, AF182243, AF182244, AF182245, AF182246, AF182247, AF182248, AF182249, AF182250, AF182251, AF182252, AF182253, AF182254, AF182255, AF182256, AF182257, AF182258, AF182259, AF182260, AF182261, AF182262, AF182263, AF182264, AF182265, AF182266, AF182267, AF182268, AF182269, AF182270, AF182271, AF182272"
35,26196447,"Lassa virus in multimammate rats, cote d'ivoire, 2013","Calvignac-spencer S., Kouadio L., Nowak K., Akoua-koffi C., Weiss S., Allali B., Witkowski P., Kruger D., Couacy-hymann E., Leendertz F."," ROBERT KOCH INSTITUT, Epidemiology of Highly Pathogenic, Microorganisms, Robert-Koch Institut, Nordufer 20, 13353, GERMANY, Emerging Infect. Dis. 21 (8), 1481-1483 (2015)",2015,"LN823982, LN823983, LN823984, LN823985"
36,,A lassa virus live attenuated vaccine candidate that is safe and efficacious in guinea pigs,"Carey B., Yu S., Geiger J., Ye C., Mehta M., Hirsch S., Cubitt B., Martinez-sobrido L., Carlos de la torre J., Kuhn J."," IRF, NIH/NIAID, 8200 Research Plaza, Frederick, MD 21702, USA, Unpublished",2024,"PQ421570, PQ421571"
37,21880754,Lassa virus nucleoprotein mutants generated by reverse genetics induce a robust type i interferon response in human dendritic cells and macrophages,"Carnec X., Caro V., Baize S., Reynard S., Diancourt L., Tordo N., Bouloy M."," to the INSDC. Caro V., Genotyping of Pathogens and Public Health, Institut Pasteur, 28 rue du docteur Roux, Paris, 75015, FRANCE, J. Virol. 85 (22), 12093-12097 (2011)",2011,"FR832710, FR832711"
38,14698659,New insights into the evolutionary relationships between arenaviruses provided by comparative analysis of small and large segment sequences,"Charrel R., Lemasson J., Garbutt M., Khelifa R., De micco P., Feldmann H., De lamballerie X."," Unite des Virus Emergents (EA3292, IFR48, IRD UR034), Universite de la Mediterranee, Faculte de Medecine, 27 Blvd Jean Moulin, Marseille 13005, France, Virology 317 (2), 191-196 (2003)",2003,AY216508
39,,Geographical dependence of genetic variability among lassa virus isolates,"Clegg C., Tolley H., Burton J., Silman N., Lloyd G., Clegg C."," Clegg C.S., Special Pathogens Programme, Centre for Applied Microbiology and Research, Porton Down, Salisbury, SP4 0JG, UNITED KINGDOM, Unpublished",2001,AJ310764
40,2042397,Nucleotide sequence of the s rna of lassa virus (nigerian strain) and comparative analysis of arenavirus gene products,"Clegg J., Wilson S., Oram J."," Clegg J.C.S., PHLS Centre for Applied Microbiology and Research, Porton Down, Salisbury SP4 OJG, UK, Virus Res. 18 (2-3), 151-164 (1991)","1990, 1991",X52400
41,9281522,Completion of the lassa fever virus sequence and identification of a ring finger open reading frame at the l rna 5' end,"Djavani M., Lukashevich I., Sanchez A., Nichol S., Salvato M."," Pathology and Laboratory Medicine, University of Wisconsin-Madison, 1300 University Ave, 512 SMI, Madison, WI 53706, USA, Virology 235 (2), 414-418 (1997)","1996, 1997","NC_004297, U73034, U73035"
42,22594713,"Hospital-based surveillance for lassa fever in edo state, nigeria, 2005-2008","Ehichioya D., Asogun D., Ehimuan J., Okokhere P., Pahlmann M., Olschlager S., Becker-ziaja B., Omilabu S., Gunther S."," Department of Virology, Bernhard-Nocht-Institute for Tropical Medicine, Bernhard-Nocht-Str. 74, Hamburg 20359, Germany, Trop. Med. Int. Health 17 (8), 1001-1004 (2012)",2012,"JQ511991, JQ511992"
