PubID,PMID
1,38088796
2,38047354
3,37542071
4,37288752
5,36968239
6,34522759
7,33466234
8,32723007
9,32459576
10,32457420
11,32046182
12,31588039
13,31534915
14,31413134
15,31365854
16,30606844
17,30500827
18,30332564
19,29460758
20,27660771
21,27140942
22,28879105
23,26982388
24,26911443
25,26276630
26,26196447
27,25811712
28,25403361
29,24335292
30,22615894
31,21191050
32,20875288
33,20587185
34,20507773
35,17326956
36,17143722
37,16355508
38,14972544
39,11443561
40,10998376
41,10888638
42,9281522
43,9049403
44,2042397
45,2916333
46,3750844
47,3840620
48,38832113
49,38826374
50,37090668
51,36992478
52,34634087
53,32977629
54,32174454
55,32098811
56,30050872
57,27403729
58,24340119
59,23029594
60,21843352
61,21307206
62,20980515
63,20351210
64,17905372
65,3724662
66,3898483
67,21880754
68,7883875
69,22594713
70,33654106
71,35099012
72,34857749
73,24188212
74,31441759
75,34127846
76,9417890
77,14698659
78,11987802
79,30718881
80,31002054
81,31554720
82,39551823
83,19317988
84,https://www.biorxiv.org/content/10.1101/616466v1.full
85,39928049
