acc_num,seq_len,description,record_date,organism,segment_source,cds,host,isolate_source,isolate_name,country_region,collection_date,e_value,pcnt_id,align_len
DQ099335.2,12128,"Crimean-Congo hemorrhagic fever virus strain Congo 3010 segment L, complete sequence",28-APR-2006,Orthonairovirus haemorrhagiae,L,L protein,,,,Democratic Republic of the Congo,,0.0,95.10773130544993,3945
DQ144418.1,1640,"Crimean-Congo hemorrhagic fever virus strain Congo 3010 nucleoprotein gene, complete cds",15-MAY-2015,Orthonairovirus haemorrhagiae,S,nucleoprotein,,,,Democratic Republic of the Congo,,0.0,96.47302904564316,482
LY822574.1,28,KR 1020200056348-A/3: PRIMERS AND PROBES FOR SIMULTANEOUS DETECTION OF SUBTYPES OF CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS AND DETECTING METHOD FOR CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS USING THE SAME,18-NOV-2020,synthetic construct,,,,,,,,999.0,0.0,0
LY822573.1,21,KR 1020200056348-A/2: PRIMERS AND PROBES FOR SIMULTANEOUS DETECTION OF SUBTYPES OF CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS AND DETECTING METHOD FOR CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS USING THE SAME,18-NOV-2020,synthetic construct,,,,,,,,999.0,0.0,0
LY822572.1,22,KR 1020200056348-A/1: PRIMERS AND PROBES FOR SIMULTANEOUS DETECTION OF SUBTYPES OF CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS AND DETECTING METHOD FOR CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS USING THE SAME,18-NOV-2020,synthetic construct,,,,,,,,999.0,0.0,0
FJ562095.1,12156,"Crimean-Congo hemorrhagic fever virus strain YL04057 segment L, complete sequence",11-MAR-2009,Orthonairovirus haemorrhagiae,L,RNA-dependent RNA polymerase,tick,infected mouse brain,,China,2004,0.0,97.0342205323194,3945
FJ562094.1,5377,"Crimean-Congo hemorrhagic fever virus strain YL04057 segment M, complete sequence",11-MAR-2009,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,tick,infected mouse brain,,China,2004,0.0,75.37180249851278,1681
U04958.1,1659,"Crimean-Congo hemorrhagic fever virus nucleoprotein (N) gene, complete cds",08-OCT-1994,Orthonairovirus haemorrhagiae,,nucleoprotein,,,AP92,,,0.0,92.5311203319502,482
AY297690.1,497,"Crimean-Congo hemorrhagic fever virus isolate TAJ/HU9115 nucleocapsid protein (N) gene, partial cds",25-JUL-2016,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,,patient in 1991,TAJ/HU9115,Tajikistan,,6.41634e-113,96.96969696969697,165
AY297689.1,497,"Crimean-Congo hemorrhagic fever virus isolate TAJ/HU9102 nucleocapsid protein (N) gene, partial cds",25-JUL-2016,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,,patient in 1991,TAJ/HU9102,Tajikistan,,6.41634e-113,96.96969696969697,165
AY297688.1,497,"Crimean-Congo hemorrhagic fever virus isolate TAJ/HU9112 nucleocapsid protein (N) gene, partial cds",25-JUL-2016,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,,patient in 1991,TAJ/HU9112,Tajikistan,,6.41634e-113,96.96969696969697,165
AY277677.1,466,"Crimean-Congo hemorrhagic fever virus Turkm/TI9488 nucleocapsid protein gene, partial cds",25-JUL-2016,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Hyalomma marginatum,,Turkm/TI9488,Turkmenistan,,5.98681e-107,97.41935483870968,155
