RefID,PMID,Title,Authors,Journal,Year,accession
1,,Direct Submission,Akyildiz G.," Microbiology & Immunology, University of Texas Medical Branch, 301 University Blvd, Galveston, TX 77555-610, USA",2019,"MN864495, MN864494"
2,,Viral nucleic acid microarray and method of use,"Baptista C., Wu X., Munroe D.",Patent,2007,"GN358814, GN358812, GN358810"
3,,Direct Submission,"Bayrakdar F., Yagci caglayik D."," Virology, Public Health Institution of Turkey, Saglik Mahallesi Prof. Dr. Nusret Fisek Cad, Ankara, Sihhiye 06100, Turkey",2015,"KT266848, KT266847, KT266846, KT266845, KT266844, KT266843, KT266842, KT266841, KT266840, KT266839, KT266838, KT266837, KT266836, KT266835, KT266834, KT266833, KT266832"
4,,Direct Submission,"Baz-flores S., Herrero G., Cuadrado-matias R., Moraga fernandez A., Peralbo-moreno A., Fernandez de mera I., Ruiz-fons F."," Sanidad Animal, Instituto de Investigacion en Recursos Cinegeticos, Ronda de Toledo s/n, Ciudad Real, Ciudad Real 13003, Espana",2024,"PP449386, PP449385, PP449384, PP449383, PP449382"
5,,CRIMEAN-CONGO HAEMORRHAGIC FEVER VIRUS ANTIGENIC COMPOSITION,"Buttigieg K., Carroll M., Hewson R., Dowall S., Findlay-wilson S., Miloszewska A.",Patent,2014,"JC606540, JC606539, JC606538"
6,,Direct Submission,Chitimia-dobler L.," Parasitology, University of Hohenheim, Schloss Hohenheim 1, Stuttgart, BW 70593, Germany",2019,MN097144
7,,A cluster of inter-human transmission of Crimean-Congo hemorrhagic fever in south-western Bulgaria,"Christova I., Di caro A., Papa A., Rezza G., Carletti F., Ippolito G., Capobianchi M., Papadimitriou E., Mohareb E., Castilletti C.",Unpublished,,FJ472634
8,25420643,Fatal outcome of coinfection of crimean-congo hemorrhagic Fever and malaria,"Christova I., Petrov A., Papa A., Vutchev D., Kalvatchev N., Vatev N., Stoycheva M.","Jpn. J. Infect. Dis. 68 (2), 131-134 (2015)",2015,KJ000206
9,,Direct Submission,Ergunay C.," Department of Medical Microbiology Virology Unit, Hacettepe University Faculty of Medicine, Morphology Building 3rd floor, Ankara 06420, Turkey",2019,"MN811042, MN811041, MN811040, MN811039, MN811038, MN811037, MN811036, MN811035, MN811034, MN811033, MN811032, MN811031, MN811030"
10,32723637,"Multiple orthonairoviruses including Crimean-Congo hemorrhagic fever virus, Tamdy virus and the novel Meram virus in Anatolia","Ergunay K., Dincer E., Kar S., Emanet N., Yalcinkaya D., Polat dincer P., Brinkmann A., Hacioglu S., Nitsche A., Ozkul A., Linton Y.","Ticks Tick Borne Dis 11 (5), 101448 (2020)",2020,"MN811042, MN811041, MN811040, MN811039, MN811038, MN811037, MN811036, MN811035, MN811034, MN811033, MN811032, MN811031, MN811030"
11,,Direct Submission,"Febrer sendra B., Fernandez-soto P."," Parasitology Department, University of Salamanca, Campus Miguel de Unamuno Calle licenciado mendez, Salamanca, Salamanca 37007, Espana",2022,OP889253
12,28736753,Combination of RT-PCR and proteomics for the identification of Crimean-Congo hemorrhagic fever virus in ticks,"Fernandez de mera I., Chaligiannis I., Hernandez-jarguin A., Villar M., Mateos-hernandez L., Papa A., Sotiraki S., Ruiz-fons F., Cabezas-cruz A., Gortazar C., De la fuente J.","Heliyon 3 (7), E00353 (2017)",2017,"KU365758, KU365757"
13,,Direct Submission,"Fernandez de mera I., Chaligiannis I., Papa A., Ruiz fons F., Gortazar C., De la fuente J."," Sanidad Animal, Instituto de Investigacion en Recursos Cinegeticos, Ronda de Toledo s/n, Ciudad Real, Ciudad Real 13071, Spain",2015,"KU365758, KU365757"
14,21028961,Crimean-Congo hemorrhagic fever in European part of Turkey: genetic analysis of the virus strains from ticks and a seroepidemiological study in humans,"Gargili A., Midilli K., Ergonul O., Ergin S., Alp H., Vatansever Z., Iyisan S., Cerit C., Yilmaz G., Altas K., Estrada-pena A.","Vector Borne Zoonotic Dis. 11 (6), 747-752 (2011)",2011,"FJ392603, FJ392602, FJ392601"
15,,COMPOSITIONS FOR USE IN IDENTIFICATION OF VIRAL HEMORRHAGIC FEVER VIRUSES,"Hall T., Sampath R., Eshoo M.",Patent,2008,DL138932
