Authors,Title,Journal,PMID,Year,accession,RefID,FirstAuthorSurname,ShortName
"Ashraf S., Love H., Burton C., Carmichael S., Filipe A., Roddy S., Smollett K., Summers S., Tong L., Richards K., Thomson E.",Direct Submission," MRC Centre for Virus Research, University of Glasgow, 464 Bearsden Road, Glasgow G61 1QH, United Kingdom",,2021,"OL741599, OL741598, OL741597, OL741596, OL741595, OL741594, OL741593, OL741592, OL741591",1,Ashraf,Ashraf (2021)
"Ashraf S., Love H., Burton C., Carmichael S., Filipe A., Roddy S., Smollett K., Summers S., Tong L., Richards K., Thomson E.",Direct Submission," MRC Centre for Virus Research, University of Glasgow, 464 Bearsden road, Glasgow G61 1QH, United Kingdom",,2021,"OL774851, OL774850, OL774849, OL774842, OL774841, OL774840",2,Ashraf,Ashraf (2021)
"Baptista C., Wu X., Munroe D.",Viral nucleic acid microarray and method of use,Patent,,2007,"GN358814, GN358812, GN358810",3,Baptista,Baptista (2007)
"Bayrakdar F., Yagci caglayik D.",Direct Submission," Virology, Public Health Institution of Turkey, Saglik Mahallesi Prof. Dr. Nusret Fisek Cad, Ankara, Sihhiye 06100, Turkey",,2015,"KT266848, KT266847, KT266846, KT266845, KT266844, KT266843, KT266842, KT266841, KT266840, KT266839, KT266838, KT266837, KT266836, KT266835, KT266834, KT266833, KT266832",4,Bayrakdar,Bayrakdar (2015)
"Baz-flores S., Herrero G., Cuadrado-matias R., Moraga fernandez A., Peralbo-moreno A., Fernandez de mera I., Ruiz-fons F.",Direct Submission," Sanidad Animal, Instituto de Investigacion en Recursos Cinegeticos, Ronda de Toledo s/n, Ciudad Real, Ciudad Real 13003, Espana",,2024,"PP449386, PP449385, PP449384, PP449383, PP449382",5,Baz-flores,Baz-flores (2024)
"Bendary H., Rasslan F., Zaki A., Abdulall A.",Direct Submission," Microbiology and Immunology, Faculty of Pharmacy (Girls), Al-Azhar University, Dr Abd El-Shennawy, Nasr City, Cairo 11765, Egypt",,2020,MW424419,6,Bendary,Bendary (2020)
"Bendary H., Rasslan F., Zaki A., Abdulall A.",Direct Submission," Microbiology and Immunology, Faculty of Pharmacy (Girls), Al-Azhar University, Dr Abd El-Shennawy, Nasr city, Cairo 11765, Egypt",,2021,"MZ361738, MZ342904, MZ330127, MW467898, MW467897",7,Bendary,Bendary (2021)
"Buttigieg K., Carroll M., Hewson R., Dowall S., Findlay-wilson S., Miloszewska A.",CRIMEAN-CONGO HAEMORRHAGIC FEVER VIRUS ANTIGENIC COMPOSITION,Patent,,2014,"JC606540, JC606539, JC606538",8,Buttigieg,Buttigieg (2014)
"Chamberlain J., Logue C., Atkinson B., Latham J., Osborne J., Brooks T., Vipond R., Carroll M., Hewson R.",Direct Submission," Research, Health Protection Agency - Porton, Manor Farm Road, Salisbury, Wiltshire SP4 0JG, UK",,2012,JX999735,9,Chamberlain,Chamberlain (2012)
"Chamberlain J., Tolley H., Mioulet V., Cook N., Hewson R.",Direct Submission," Novel & Dangerous Pathogens, Centre for Emergency Preparedness and Response, Health Protection Agency # Porton Down, Porton Down, Salisbury, Wilts SP4 0JG, UK",,2005,DQ144418,10,Chamberlain,Chamberlain (2005)
Chitimia-dobler L.,Direct Submission," Parasitology, University of Hohenheim, Schloss Hohenheim 1, Stuttgart, BW 70593, Germany",,2019,MN097144,11,Chitimia-dobler,Chitimia-dobler (2019)
"Durmaz R., Ertek M., Kalaycioglu A.",Direct Submission," Molecular Microbiology Research and Application Laboratory, Turkish National Public Health Agency, Saglik mah. Adnan Saygun cad. No. 55, Ankara, Ankara 06100, Turkey",,2012,JX308616,12,Durmaz,Durmaz (2012)
"Durmaz R., Guldemir D., Korukluoglu G., Ertek M.",Direct Submission," Molecular Microbiology Research and Application Laboratory, Turkish National Public Health Agency, Saglik mah. Adnan Saygun cad. No. 55, Ankara, Ankara 06100, Turkey",,2012,JX308615,13,Durmaz,Durmaz (2012)
"Durmaz R., Korukluoglu G., Guldemir D., Ertek M.",Direct Submission," Molecular Microbiology Research and Application Laboratory, Turkish National Public Health Agency, Saglik mah. Adnan Saygun cad. No. 55, Ankara, Ankara 06100, Turkey",,2012,JX308614,14,Durmaz,Durmaz (2012)
"Feng C., Zhang Y., Sun S., Meng W., Wang X., Dai X., Hang C.",Direct Submission," The Center for Disease Control and Prevention of Xinjiang Uygur Autonomous Region, Xinjiang Key Lab of Biological Resources and Genetic Engineering, College of Life Science and Technology, Xinjiang University, Urumuqi 830046, P.R. China",,2008,"EU715263, EU715262, EU715261, EU715260, EU715259, EU715257",15,Feng,Feng (2008)
"Feng C., Zhang Y., Sun S., Wang X., Meng W., Dai X., Hang C.",Direct Submission," The Center for Disease Control and Prevention of Xinjiang Uygur Autonomous Region, Xinjiang Key Lab of Biological Resources and Genetic Engineering, College of Life Science and Technology, Xinjiang University, Urumuqi 830046, P.R. China",,2008,EU715258,16,Feng,Feng (2008)
"Hall T., Sampath R., Eshoo M.",COMPOSITIONS FOR USE IN IDENTIFICATION OF VIRAL HEMORRHAGIC FEVER VIRUSES,Patent,,2008,DL138932,17,Hall,Hall (2008)
"Ji J., Zhou H., Cui M., Guo M., Ma Z., Li L., Hu T., Shi W.",Direct Submission," Key Laboratory of Etiology and Epidemiology of Emerging Infectious Diseases, Shandong First Medical University and Shandong Academy of Medical Sciences, Yingshengdonglu No. 2, Taian 271000, China",,2022,"ON500502, ON500501, ON500500",18,Ji,Ji (2022)
"Kalaycioglu A., Durmaz R., Guldemir D., Korukluoglu G., Ertek M.",Direct Submission," Molecular Microbiology Research and Application Laboratory, Turkish National Public Health Agency, Saglik mah. Adnan Saygun cad. No. 55, Ankara, Ankara 06100, Turkey",,2012,JX308613,19,Kalaycioglu,Kalaycioglu (2012)
"Kalaycioglu A., Oguzoglu T., Ari O., Durmaz R., Engin A., Bakir M.",Direct Submission," Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Trabzon 61080, Turkey",,2022,"ON191019, ON191018, ON191017",20,Kalaycioglu,Kalaycioglu (2022)
"Kalaycioglu A., Oguzoglu T., Ari O., Durmaz R., Engin A., Bakir M., Erdem E.",Direct Submission," Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Karadeniz Technical University, Trabzon, Trabzon 61080, Turkey",,2022,"ON623089, ON623088, ON623087, ON623085, ON623084, ON623083, ON623082, ON623081",21,Kalaycioglu,Kalaycioglu (2022)
"Kalaycioglu A., Oguzoglu T., Durmaz R., Ari O., Engin A., Bakir M.",Direct Submission," Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Karadeniz Technical University, Trabzon, Trabzon 61080, Turkey",,2022,"ON142179, ON142178",22,Kalaycioglu,Kalaycioglu (2022)
"Kalaycioglu A., Oguzoglu T., Oguz A., Durmaz R., Engin A., Bakir M.",Direct Submission," Faculty of Pharmacy Department of Pharmaceutical Microbiology, Karadeniz Technical University, Karadeniz Technical University, Trabzon, Trabzon 61080, Turkey",,2022,ON209430,23,Kalaycioglu,Kalaycioglu (2022)
"Kalvatchev N., Christova I., Andonova L.",Direct Submission," Microbiology, National Centre of Infectious and Parasitic Diseases, 26 Yanko Sakazov Blvd., Sofia 1504, Bulgaria",,2009,GU138618,24,Kalvatchev,Kalvatchev (2009)
"Karan L., Perekopskaya N., Morozkin E., Roev G.",Direct Submission," Department of Molecular Diagnostic and Epidemiology, Central Research Institute of Epidemiology, Novogireevskaya 3A, Moscow 111123, Russia",,2024,"PP116320, PP116319, PP116318",25,Karan,Karan (2024)
"Kobinger G., Babuadze G.",CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS IMMUNOGENIC COMPOSITIONS,Patent,,2021,MQ039150,26,Kobinger,Kobinger (2021)
Li Y.,Direct Submission," Key Laboratory of Jilin Province for Zoonosis Prevention and Control, Military Veterinary Institute, Rd. Liuying West 666, Changchun, Jilin 130122, China",,2019,MN832722,27,Li,Li (2019)
"Li Y., Yan C.",Direct Submission," Key Laboratory of Jilin Province for Zoonosis Prevention and Control, Military Veterinary Institute, Rd. Liuying West 666, Changchun, Jilin 130122, China",,2019,"MN832724, MN832723, MN832721",28,Li,Li (2019)
"Logue C., Chamberlain J., Atkinson B., Latham J., Osborne J., Brooks T., Vipond R., Carroll M., Hewson R.",Direct Submission," Research, Health Protection Agency - Porton, Manor Farm Road, Salisbury, Wiltshire SP4 0JG, UK",,2012,JX999734,29,Logue,Logue (2012)
"Ma B., Hang C., Tang Q.",Direct Submission," Lab of Hemorrhagic Fever and Arboviruses, Institute of Virology, Chinese Academy of Preventive Medicine, 100 Ying Xin Street, Xuan Wu District, Beijing 100052, China",,2001,AF338470,30,Ma,Ma (2001)
"Marriott A., Nuttall P.","Comparison of the S RNA segments and nucleoprotein sequences of Crimean-Congo hemorrhagic fever, Hazara, and Dugbe viruses","Virology 189 (2), 795-799 (1992)",1641991,1992,M86625,31,Marriott,"Marriott (1992, 1641991)"
"Midilli K., Gargili A., Vatansever Z., Ergin S., Aktas M., Yilmaz G., Altas K.",Direct Submission," Microbiology and Clinical Microbiology, Cerrahpasa Medical Faculty of Istanbul University, Temel Bilimler Binasi, Fatih - Istanbul 34303, Turkey",,2006,DQ983785,32,Midilli,Midilli (2006)
"Midilli K., Gargili A., Yilmaz G., Sengoz G., Ozturk R., Altas K.",Direct Submission," Microbiology and Clinical Microbiology, Cerrahpasa Medical Faculty of Istanbul University, Temel Bilimler Binasi, Fatih - Istanbul 34303, Turkey",,2006,"DQ983741, DQ983741, DQ983745, DQ983744, DQ983743, DQ983742",33,Midilli,Midilli (2006)
"Millar D., Meruki J.",Modified Microbial Nucleic Acid,Patent,,2009,"FV537253, FV537252, FV537251, FV537250, FV537249, FV537248, FV537247, FV537246, FV537245, FV537244, FV537243, FV537242",34,Millar,Millar (2009)
"Mitchell R., Chamberlain J., Hewson R.",Direct Submission," Novel and Dangerous Pathogens, Centre for Emergency Preparedness and Response, Porton Down, Salisbury, Wiltshire SP4 0JG, UK",,2005,DQ019222,35,Mitchell,Mitchell (2005)
"Morikawa S., Kurane I., Niikura M., Saijo M.",A monoclonal antibody recognizing Crimean-Congo hemorrhagic fever,Patent,,2003,BD294628,36,Morikawa,Morikawa (2003)
NCBI,Direct Submission," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",,2003,"NC_005301, NC_005300",37,NCBI,NCBI (2003)
NCBI,Direct Submission," National Center for Biotechnology Information, NIH, Bethesda, MD 20894, USA",,2004,NC_005302,38,NCBI,NCBI (2004)
"Negredo A., Sanchez-seco M.",Direct Submission," Arbovirus and Imported Viral diseases, National Center of Microbiology, Institute of Health Carlos III, Ctra. Majadahonda-Pozuelo, km2, Majadahonda, Madrid 28220, Spain",,2022,ON227355,39,Negredo,Negredo (2022)
"Peng L., Hirsch S., Kocher G., Mehta M., Holbrook M.",Direct Submission," IRF, NIH/NIAID, 8200 Research Plaza, Frederick, MD 21702, USA",,2024,"PQ463984, PQ463983, PQ463982",40,Peng,Peng (2024)
"Picard C., Baize S.",Direct Submission," Virology, Institut Pasteur, 21 Av Tony Garnier, Lyon 69365, France",,2023,"PP067088, PP067087, PP067086, PP067085, PP067084, PP067083, PP067082, PP067081, PP067080, PP067079, PP067078, PP067077, PP067076, PP067075, PP067074, PP067073, PP067072, PP067071, PP067070, PP067069, PP067068, PP067067, PP067066, PP067065, PP067064, PP067063, PP067062, PP067061, PP067060, PP067059, PP067058, PP067057, PP067056, PP067055, PP067054, PP067053, PP067052, PP067051, PP067050, PP067049, PP067048, PP067047",41,Picard,Picard (2023)
"Piorkowski G., Kiwan P., Masse S., Ayhan N., Charrel R., De lamballerie X., Falchi A.",Direct Submission," UMR190 Unite des Virus Emergents U1207, IHU mediterranee, 19-21 boulevard Jean Moulin, Marseille 13005, France",,2023,"PP025040, PP025039, PP025038",42,Piorkowski,Piorkowski (2023)
"Rangunwala A., Burt F., Swanepoel R., Janusz P.",Direct Submission," Medical Microbiology and Virology, University of the Free State, DF Malherbe Drive, Bloemfontein, Free State 9310, South Africa",,2013,KC880335,43,Rangunwala,Rangunwala (2013)
"Rasslan F., Bendary H., Zaki A., Abdulall A.",Direct Submission," Microbiology and Immunology, Faculty of Pharmacy (Girls), Al-Azhar University, Dr Abd El-Shennawy, Nasr City, Cairo 11765, Egypt",,2021,"MZ326698, MZ322095",44,Rasslan,Rasslan (2021)
